时间,公司名称,公司名称链接,行业,轮次,金额,投资方,最新估值(估算),字段1,字段2,字段3
2017-2-14,极客晨星,https://www.itjuzi.com/company/78904,天使轮,数百万人民币,毛大庆,1500万人民币,教育,儿童早教,早幼教,
2017-2-14,随时随课,https://www.itjuzi.com/company/58791,天使轮,357万人民币,文都教育,1785万人民币,教育,教育综合服务,知识分享,
2017-2-14,CodeMonkey,https://www.itjuzi.com/company/58778,种子轮,150万美元,Invictus（领投）J21 Corporation（领投）,4875万人民币,教育,教育综合服务,素质教育,
2017-2-13,威学一百,https://www.itjuzi.com/company/18489,A轮,未透露,上海中金投资集团,1亿人民币,教育,出国留学,留学考试培训,
2017-2-9,知鸿股份,https://www.itjuzi.com/company/27899388,战略投资,未透露,粤商创投天风证券(天风天睿),5亿人民币,教育,出国留学,游学和营地,
2017-2-8,腰果公考,https://www.itjuzi.com/company/25636,A轮,数千万人民币,中文在线华图资本,1.5亿人民币,教育,高等教育,直播,
2017-2-7,学霸播播,https://www.itjuzi.com/company/79566,种子轮,100万人民币,博派资本蓝杉创投投缘帮-缘创派,500万人民币,教育,教育信息化,直播,
2017-2-7,CourseIn有教未来,https://www.itjuzi.com/company/58622,Pre-A轮,数千万人民币,中文在线,1.5亿人民币,教育,教育信息化,语言学习,
2017-2-7,取得,https://www.itjuzi.com/company/50096,天使轮,数百万人民币,未透露,1500万人民币,教育,其他教育,知识分享,
2017-2-6,微语言,https://www.itjuzi.com/company/33742649,A轮,5000万人民币,未透露,2.5亿人民币,教育,语言学习,,
2017-2-4,新图画,https://www.itjuzi.com/company/4083185,天使轮,数百万人民币,助力资本（领投）,1000万人民币,教育,素质教育,,
2017-2-4,PowerMyLearning,https://www.itjuzi.com/company/58563,战略投资,650万美元,盖茨基金会（Bill & Melinda Gates Foundation）Oak FoundationCarneigie Corporation,2.11亿人民币,教育,K12,科研学术,
2017-2-3,点点未来,https://www.itjuzi.com/company/69738,战略投资,未透露,杰翱资本,5亿人民币,教育,儿童早教,家园互动,
2017-2-3,一周过会计,https://www.itjuzi.com/company/28608135,C轮,数百万人民币,兴旺投资清科创投,1500万人民币,教育,教育信息化,,
2017-2-2,深蓝学院,https://www.itjuzi.com/company/33079684,天使轮,200万人民币,ATA教育,1000万人民币,教育,教育综合服务,科研学术,
2017-2-1,飞硕科技,https://www.itjuzi.com/company/31957036,天使轮,69万人民币,华映资本,345万人民币,教育,教育信息化,教育技术服务,
2017-2-1,Notesgen,https://www.itjuzi.com/company/33357336,战略投资,5万美元,LetsVentureKamal Chhabra,162.5万人民币,教育,教辅设备,数字化教辅教材,
2017-2-1,AD Education,https://www.itjuzi.com/company/32776221,战略投资,未透露,凯辉基金,32.5亿人民币,教育,高等教育,私立学校/民办中小学,
2017-1-30,BOXE课堂,https://www.itjuzi.com/company/76654,种子轮,100万人民币,未透露,500万人民币,教育,教育信息化,人机交互,
2017-1-27,夏加儿教育,https://www.itjuzi.com/company/52991,A+轮,数千万人民币,敦鸿资产,1.5亿人民币,教育,素质教育,家园互动,
2017-1-25,Cuemath,https://www.itjuzi.com/company/35846,B轮,1500万美元,CapitalG谷歌资本（领投）,4.88亿人民币,教育,K12,家庭教育,
2017-1-24,棕榈大道教育,https://www.itjuzi.com/company/32899105,Pre-A轮,未透露,九合创投,1亿人民币,教育,出国留学,语言学习,
2017-1-24,番茄教育,https://www.itjuzi.com/company/83203,天使轮,数百万人民币,小站教育（领投）蓝象资本北塔资本,1000万人民币,教育,语言学习,阿里巴巴系,
2017-1-24,Palmdrive棕榈大道,https://www.itjuzi.com/company/8790,Pre-A轮,数千万人民币,九合创投,1.5亿人民币,教育,出国留学,留学服务,
2017-1-23,先声教育,https://www.itjuzi.com/company/66241,Pre-A轮,数千万人民币,浙大友创,1.5亿人民币,教育,K12,语言学习,
2017-1-23,翡翠教育,https://www.itjuzi.com/company/22099,C+轮,3亿人民币,未透露,15亿人民币,教育,职业培训,,
2017-1-23,火星人俱乐部,https://www.itjuzi.com/company/58468,A轮,2000万人民币,雷军-顺为创业和才盈资本,1亿人民币,教育,素质教育,创客教育,
2017-1-22,酷柠,https://www.itjuzi.com/company/64857,Pre-A轮,数千万人民币,鼎心资本,1.5亿人民币,教育,其他教育,素质教育,
2017-1-21,画吧HuaBar,https://www.itjuzi.com/company/4587,Pre-A轮,1000万人民币,尖晶资本东升科技园黑云影业,5000万人民币,教育,素质教育,,
2017-1-20,万门大学,https://www.itjuzi.com/company/9741,Pre-A轮,未透露,长融资本（领投）,1亿人民币,教育,教育综合服务,MOOC,
